MCRLoger Start - Sample Data
Time: 2025-06-24 12:00:00
fin d_0= 5 d_1= 1024 d_2= 1 d_3= 150 d_4= 90 d_5= 85 d_6= 512 d_7= 480 d_8= 500 d_9= 100 d_10= 200 d_11= 195 d_12= 205 d_13= 190 d_14= 0 d_15= 0
fin d_0= 6 d_1= 1028 d_2= 1 d_3= 148 d_4= 92 d_5= 87 d_6= 515 d_7= 478 d_8= 502 d_9= 102 d_10= 202 d_11= 197 d_12= 203 d_13= 192 d_14= 0 d_15= 0
fin d_0= 4 d_1= 1032 d_2= 1 d_3= 146 d_4= 88 d_5= 83 d_6= 508 d_7= 485 d_8= 498 d_9= 98 d_10= 198 d_11= 193 d_12= 207 d_13= 188 d_14= 0 d_15= 0
fin d_0= 7 d_1= 1036 d_2= 2 d_3= 144 d_4= 94 d_5= 89 d_6= 520 d_7= 475 d_8= 505 d_9= 105 d_10= 205 d_11= 200 d_12= 200 d_13= 195 d_14= 0 d_15= 0
fin d_0= 3 d_1= 1040 d_2= 2 d_3= 142 d_4= 86 d_5= 81 d_6= 505 d_7= 488 d_8= 495 d_9= 95 d_10= 195 d_11= 190 d_12= 210 d_13= 185 d_14= 0 d_15= 0
fin d_0= 2 d_1= 1304 d_2= 2 d_3= 10 d_4= 90 d_5= 85 d_6= 512 d_7= 480 d_8= 500 d_9= 100 d_10= 200 d_11= 195 d_12= 205 d_13= 190 d_14= 0 d_15= 0
fin d_0= 4 d_1= 1308 d_2= 1 d_3= 8 d_4= 140 d_5= 135 d_6= 598 d_7= 392 d_8= 595 d_9= 195 d_10= 295 d_11= 290 d_12= 110 d_13= 285 d_14= 0 d_15= 0
fin d_0= 6 d_1= 1312 d_2= 1 d_3= 6 d_4= 40 d_5= 35 d_6= 415 d_7= 578 d_8= 405 d_9= 5 d_10= 105 d_11= 100 d_12= 300 d_13= 95 d_14= 0 d_15= 0
fin d_0= 5 d_1= 1316 d_2= 3 d_3= 4 d_4= 142 d_5= 137 d_6= 602 d_7= 389 d_8= 598 d_9= 198 d_10= 298 d_11= 293 d_12= 107 d_13= 288 d_14= 0 d_15= 0
fin d_0= 7 d_1= 1320 d_2= 3 d_3= 2 d_4= 38 d_5= 33 d_6= 412 d_7= 582 d_8= 402 d_9= 2 d_10= 102 d_11= 97 d_12= 303 d_13= 92 d_14= 0 d_15= 0
fin d_0= 3 d_1= 1324 d_2= 2 d_3= 0 d_4= 90 d_5= 85 d_6= 512 d_7= 480 d_8= 500 d_9= 100 d_10= 200 d_11= 195 d_12= 205 d_13= 190 d_14= 0 d_15= 0
